35,7944.02,Clara das Neves,74962702,BTG,Stella Santos,70949900,Nubank,celular,41953574945,2022-02-02T14:41:00.000-03:00
36,48714.95,Pedro Miguel Azevedo,16805003,Itau,Guilherme Castro,82754334,Itau,celular,21962702716,2022-06-07T05:40:00.000-03:00
39,2.52,Dr. Caua Cardoso,86824823,BTG,Ana Vitoria Pinto,91455952,Itau,celular,61966724314,2022-05-09T06:04:00.000-03:00
41,60.55,Amanda Farias,35150923,BTG,Leonardo Gomes,54498411,Nubank,cpf,57924816011,2022-03-23T20:20:00.000-03:00
47,38219.08,Livia das Neves,93530594,Itau,Alexia Araujo,47121539,BTG,cpf,40152936734,2022-05-23T06:48:00.000-03:00
48,1379.61,Diogo Barbosa,43938121,Bradesco,Alexia Fogaca,77922324,Nubank,cpf,37450286190,2022-03-02T06:30:00.000-03:00
50,8745.63,Joao Felipe Oliveira,59642337,Nubank,Lais Nascimento,70760031,Bradesco,cpf,83051264989,2022-07-17T03:37:00.000-03:00
53,6037.91,Davi Porto,53093991,Bradesco,Luiz Gustavo Cardoso,875443,Bradesco,cpf,18905276458,2022-03-01T13:06:00.000-03:00
55,35409.61,Joaquim da Rosa,87505519,Bradesco,Isabelly da Cunha,95347717,Bradesco,cpf,12574036808,2022-03-02T03:04:00.000-03:00
58,61.29,Emanuelly Rocha,65498901,Nubank,Srta. Sophie da Costa,14803356,Bradesco,cpf,48157296030,2022-01-17T06:13:00.000-03:00
59,348.54,Maria Duarte,46934189,Itau,Noah Moura,14854836,BTG,cpf,96203187577,2022-05-06T11:33:00.000-03:00
62,57433.69,Clarice Rodrigues,3165782,Itau,Fernando das Neves,38861852,Itau,cpf,84390165224,2022-12-15T01:29:00.000-03:00
63,191.22,Sra. Helena Viana,39149858,Bradesco,Isabelly Fogaca,61912623,Nubank,cpf,74968250185,2022-02-26T07:11:00.000-03:00
64,1.44,Augusto da Cruz,52543959,Itau,Sr. Joao Lucas Viana,85178154,Nubank,cpf,17432895619,2022-10-05T21:39:00.000-03:00
66,21639.12,Sra. Beatriz Viana,67936014,Nubank,Amanda Viana,25516806,BTG,cpf,12934078604,2022-06-05T12:14:00.000-03:00
67,987.16,Gustavo Henrique Rezende,4035258,Itau,Lorenzo Moraes,46035072,BTG,cpf,57392106406,2022-04-28T16:47:00.000-03:00
69,779.09,Benicio Silveira,81346436,Bradesco,Ana Laura Nogueira,36012533,Itau,cpf,3761298404,2022-01-06T04:45:00.000-03:00
70,5.36,Enrico Costela,54996480,Itau,Heitor da Luz,11190989,Itau,cpf,30941825779,2022-04-03T02:48:00.000-03:00
72,8465.47,Elisa Santos,94713975,Bradesco,Maysa Teixeira,16498581,BTG,email,maysa.teixeira@yahoo.com.br,2022-12-08T23:47:00.000-03:00
75,1188.65,Davi Lucas Viana,8744886,Nubank,Enrico Sales,41968952,Bradesco,email,enrico.sales@hotmail.com,2022-04-12T04:02:00.000-03:00
79,78559.4,Lucas Gabriel Cardoso,21729930,Bradesco,Brenda da Luz,11563344,Itau,email,brenda.da.luz@hotmail.com,2022-01-09T22:31:00.000-03:00
80,452.38,Arthur Carvalho,23482854,Bradesco,Catarina Moura,38128549,BTG,email,catarina.moura@gmail.com,2022-11-04T01:50:00.000-03:00
82,2842.73,Juliana Cardoso,75484383,Itau,Ana Luiza Fernandes,320358,Nubank,email,ana.luiza.fernandes@outlook.com,2022-10-29T23:43:00.000-03:00
84,9.28,Sra. Amanda Aragao,93254442,Itau,Rodrigo Vieira,76051047,BTG,email,rodrigo.vieira@hotmail.com,2022-11-29T06:17:00.000-03:00
85,4.68,Joao Rocha,38006155,Bradesco,Juliana da Cunha,31455037,Bradesco,email,juliana.da.cunha@hotmail.com,2022-02-23T01:30:00.000-03:00
90,32.23,Sr. Matheus Santos,73634717,Bradesco,Isabel Ferreira,4979355,Nubank,email,isabel.ferreira@gmail.com,2022-08-22T19:56:00.000-03:00
94,649.41,Yasmin Goncalves,23425712,Itau,Vicente Alves,99848619,BTG,email,vicente.alves@gmail.com,2022-08-26T00:56:00.000-03:00
96,869.39,Ana Livia Carvalho,95439137,Itau,Dra. Vitoria da Paz,32448747,BTG,email,vitoria.da.paz@hotmail.com,2022-07-30T19:56:00.000-03:00
99,9.77,Ana Livia Correia,37128931,Itau,Gabrielly Viana,97906999,Nubank,email,gabrielly.viana@gmail.com,2022-02-01T20:54:00.000-03:00
