id;valor;parte_debitada_nome;parte_debitada_conta;parte_debitada_banco;parte_creditada_nome;parte_creditada_conta;parte_creditada_banco;chave_pix_tipo;chave_pix_valor;data_transacao
56;38.66;Sr. Luiz Henrique Freitas;93575779;Bradesco;Ana Livia Silveira;366749;Itau;cpf;51968723021;30/11/2021 18:09
57;884.04;Nicole Nascimento;60263820;BTG;Bruno Cardoso;23139336;Itau;cpf;50129764876;08/06/2021 04:08
58;61.29;Emanuelly Rocha;65498901;Nubank;Srta. Sophie da Costa;14803356;Bradesco;cpf;48157296030;17/01/2022 06:13
59;348.54;Maria Duarte;46934189;Itau;Noah Moura;14854836;BTG;cpf;96203187577;06/05/2022 11:33
60;0.03;Enrico Silveira;90631381;BTG;Srta. Gabriela Pereira;9994311;BTG;cpf;48731265928;16/03/2021 19:22
61;31.51;Alexia Santos;94650348;Bradesco;Mirella Souza;3593032;Nubank;cpf;58176230480;11/12/2021 01:12
62;57433.69;Clarice Rodrigues;3165782;Itau;Fernando das Neves;38861852;Itau;cpf;84390165224;15/12/2022 01:29
63;191.22;Sra. Helena Viana;39149858;Bradesco;Isabelly Fogaca;61912623;Nubank;cpf;74968250185;26/02/2022 07:11
64;1.44;Augusto da Cruz;52543959;Itau;Sr. Joao Lucas Viana;85178154;Nubank;cpf;17432895619;05/10/2022 21:39
65;8.03;Fernanda Carvalho;10469399;Itau;Enrico da Mota;18390879;BTG;cpf;16928570377;26/09/2021 03:10
66;21639.12;Sra. Beatriz Viana;67936014;Nubank;Amanda Viana;25516806;BTG;cpf;12934078604;05/06/2022 12:14
67;987.16;Gustavo Henrique Rezende;4035258;Itau;Lorenzo Moraes;46035072;BTG;cpf;57392106406;28/04/2022 16:47
68;611.53;Luiza da Rosa;50915262;Bradesco;Danilo Correia;94849123;Nubank;cpf;91856743209;21/05/2021 06:56
69;779.09;Benicio Silveira;81346436;Bradesco;Ana Laura Nogueira;36012533;Itau;cpf;3761298404;06/01/2022 04:45
70;5.36;Enrico Costela;54996480;Itau;Heitor da Luz;11190989;Itau;cpf;30941825779;03/04/2022 02:48
71;80083.34;Eduarda Campos;12495530;BTG;Olivia da Luz;30630489;BTG;cpf;42617803996;16/11/2021 10:58
72;8465.47;Elisa Santos;94713975;Bradesco;Maysa Teixeira;16498581;BTG;email;maysa.teixeira@yahoo.com.br;08/12/2022 23:47
73;570.52;Dr. Caue Rezende;1586882;BTG;Francisco Azevedo;73933646;BTG;email;francisco.azevedo@yahoo.com.br;02/08/2021 18:40
74;315.96;Marcelo Costela;37182526;BTG;Benjamin Moraes;61521649;Itau;email;benjamin.moraes@outlook.com;22/08/2021 13:29
75;1188.65;Davi Lucas Viana;8744886;Nubank;Enrico Sales;41968952;Bradesco;email;enrico.sales@hotmail.com;12/04/2022 04:02
76;9320.87;Joao Pedro Freitas;26109760;Itau;Srta. Laura Pinto;84371001;Nubank;email;srta..laura.pinto@outlook.com;16/07/2021 00:01
77;8265.44;Sarah Jesus;4764581;BTG;Luiz Henrique das Neves;71227398;BTG;email;luiz.henrique.das.neves@yahoo.com.br;21/11/2021 09:17
78;81977.98;Giovanna Costa;37809286;Itau;Joao Guilherme Ramos;75756231;Bradesco;email;joao.guilherme.ramos@gmail.com;16/02/2021 18:57
79;78559.40;Lucas Gabriel Cardoso;21729930;Bradesco;Brenda da Luz;11563344;Itau;email;brenda.da.luz@hotmail.com;09/01/2022 22:31
80;452.38;Arthur Carvalho;23482854;Bradesco;Catarina Moura;38128549;BTG;email;catarina.moura@gmail.com;04/11/2022 01:50
81;1.90;Srta. Lara Costa;81344472;BTG;Sra. Gabrielly Caldeira;10431480;BTG;email;gabrielly.caldeira@outlook.com;11/08/2021 04:10
82;2842.73;Juliana Cardoso;75484383;Itau;Ana Luiza Fernandes;320358;Nubank;email;ana.luiza.fernandes@outlook.com;29/10/2022 23:43
83;35095.43;Alana da Mata;55710215;Bradesco;Luana Cunha;69704377;Itau;email;luana.cunha@outlook.com;15/06/2021 22:33
84;9.28;Sra. Amanda Aragao;93254442;Itau;Rodrigo Vieira;76051047;BTG;email;rodrigo.vieira@hotmail.com;29/11/2022 06:17
85;4.68;Joao Rocha;38006155;Bradesco;Juliana da Cunha;31455037;Bradesco;email;juliana.da.cunha@hotmail.com;23/02/2022 01:30
86;94736.79;Joao Vitor Cavalcanti;52265189;BTG;Stella Gomes;93858790;Nubank;email;stella.gomes@yahoo.com.br;26/01/2021 00:04
87;0.93;Mariane da Mota;84120695;Bradesco;Dra. Alana das Neves;96784904;Bradesco;email;alana.das.neves@hotmail.com;20/06/2021 16:41
88;78347.58;Lorenzo Ribeiro;50434631;BTG;Maria Clara Rodrigues;26325899;Itau;email;maria.clara.rodrigues@outlook.com;18/03/2021 14:21
89;958.07;Erick da Mota;55169261;BTG;Thomas Cunha;65762543;Itau;email;thomas.cunha@gmail.com;13/02/2021 10:07
90;32.23;Sr. Matheus Santos;73634717;Bradesco;Isabel Ferreira;4979355;Nubank;email;isabel.ferreira@gmail.com;22/08/2022 19:56
91;10.33;Felipe Jesus;46232447;Nubank;Olivia Viana;41177277;BTG;email;olivia.viana@outlook.com;25/04/2021 09:00
92;48.53;Eduardo Lima;19828639;Bradesco;Sophia Costa;82790431;Bradesco;email;sophia.costa@outlook.com;16/09/2021 22:40
93;774.71;Davi Peixoto;84946225;BTG;Augusto Novaes;2873624;BTG;email;augusto.novaes@yahoo.com.br;14/12/2021 13:54
94;649.41;Yasmin Goncalves;23425712;Itau;Vicente Alves;99848619;BTG;email;vicente.alves@gmail.com;26/08/2022 00:56
95;202.69;Joao Gabriel Castro;50219556;BTG;Ana Clara Ribeiro;98997500;Nubank;email;ana.clara.ribeiro@yahoo.com.br;19/04/2021 12:46
96;869.39;Ana Livia Carvalho;95439137;Itau;Dra. Vitoria da Paz;32448747;BTG;email;vitoria.da.paz@hotmail.com;30/07/2022 19:56
97;94586.45;Henrique Pinto;69273106;Bradesco;Heitor Silva;81541742;Itau;email;heitor.silva@yahoo.com.br;06/09/2021 10:57
98;6.00;Rafaela Gomes;44106020;Nubank;Lara Rezende;37284412;Bradesco;email;lara.rezende@hotmail.com;22/03/2021 20:38
99;9.77;Ana Livia Correia;37128931;Itau;Gabrielly Viana;97906999;Nubank;email;gabrielly.viana@gmail.com;01/02/2022 20:54
100;705.81;Murilo Barbosa;16993841;Bradesco;Rafaela Santos;40308196;Itau;email;rafaela.santos@gmail.com;07/02/2021 10:57
